Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-951.9178,93.97055,1021.5587,-208.1769,4.913421,-73.99561,-205.1194,35.88572,-73.99561,-241.0832,5.690081,-104.7301
-1102.3867,108.824745,1183.0355,-241.0832,5.690081,-104.7301,-205.1194,35.88572,-73.99561,-237.5424,41.55815,-104.7301
-1252.8643,123.67949,1021.6227,-241.0832,5.690081,-104.7301,-237.5424,41.55815,-104.7301,-269.4998,6.360775,-139.6599
-1400.5403,138.2556,1142.0442,-269.4998,6.360775,-139.6599,-237.5424,41.55815,-104.7301,-265.5417,46.45664,-139.6599
-1542.6287,152.28198,968.04724,-269.4998,6.360775,-139.6599,-265.5417,46.45664,-139.6599,-290.57,37.49151,-178.1334
-61.437126,-3.1484082,295.25385,-44.57264,-5.646154,-3.072789,-44.91631,1.060121,-3.072789,-88.31519,-11.18716,-12.23393
-121.73012,-6.238315,585.00946,-88.31519,-11.18716,-12.23393,-44.91631,1.060121,-3.072789,-88.99615,2.1005,-12.23393
-200.36317,-10.268031,563.014,-88.31519,-11.18716,-12.23393,-88.99615,2.1005,-12.23393,-130.4131,-16.51983,-27.31282
-295.87183,-15.161721,831.38916,-130.4131,-16.51983,-27.31282,-88.99615,2.1005,-12.23393,-131.4186,3.101761,-27.31282
-406.47736,-20.829617,783.42554,-130.4131,-16.51983,-27.31282,-131.4186,3.101761,-27.31282,-170.0823,-21.54485,-48.02864
-530.1201,-27.166756,1021.73016,-170.0823,-21.54485,-48.02864,-131.4186,3.101761,-27.31282,-171.3937,4.045259,-48.02864
-664.4976,-34.053123,940.146,-170.0823,-21.54485,-48.02864,-171.3937,4.045259,-48.02864,-206.584,-26.16864,-73.99561
-807.10706,-41.362675,1141.9144,-206.584,-26.16864,-73.99561,-171.3937,4.045259,-48.02864,-208.1769,4.913421,-73.99561
-955.2913,-48.95683,1021.5613,-206.584,-26.16864,-73.99561,-208.1769,4.913421,-73.99561,-239.2386,-30.30509,-104.7301
-1106.2932,-56.692978,1183.0356,-239.2386,-30.30509,-104.7301,-208.1769,4.913421,-73.99561,-241.0832,5.690081,-104.7301
-1257.304,-64.431656,1021.62427,-239.2386,-30.30509,-104.7301,-241.0832,5.690081,-104.7301,-267.4378,-33.87718,-139.6599
